"","Population.Code","Region.Country.Area","Year","Series","Value","Footnotes","Source"
"511",191,"Croatia",2019,"Domestic general government health expenditure (% of total government expenditure)",12.1,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"512",191,"Croatia",2020,"Domestic general government health expenditure (% of total government expenditure)",11.7,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"513",192,"Cuba",2005,"Current health expenditure (% of GDP)",8.8,"Data revision.;Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"514",192,"Cuba",2010,"Current health expenditure (% of GDP)",10.7,"Data revision.;Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"515",192,"Cuba",2015,"Current health expenditure (% of GDP)",12.8,"Data revision.;Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"516",192,"Cuba",2018,"Current health expenditure (% of GDP)",11,"Data revision.;Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"517",192,"Cuba",2019,"Current health expenditure (% of GDP)",11.1,"Data revision.;Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"518",192,"Cuba",2020,"Current health expenditure (% of GDP)",12.5,"Data revision.;Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"519",192,"Cuba",2005,"Domestic general government health expenditure (% of total government expenditure)",11.7,"Data revision.;Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"520",192,"Cuba",2010,"Domestic general government health expenditure (% of total government expenditure)",13.9,"Data revision.;Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"521",192,"Cuba",2015,"Domestic general government health expenditure (% of total government expenditure)",18.2,"Data revision.;Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"522",192,"Cuba",2018,"Domestic general government health expenditure (% of total government expenditure)",14.9,"Data revision.;Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"523",192,"Cuba",2019,"Domestic general government health expenditure (% of total government expenditure)",15.5,"Data revision.;Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"524",192,"Cuba",2020,"Domestic general government health expenditure (% of total government expenditure)",16.4,"Data revision.;Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"525",196,"Cyprus",2005,"Current health expenditure (% of GDP)",5.4,"Since 2016 health expenditure data do not include foreign health insurance provided insurance to the country's residents is missing.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"526",196,"Cyprus",2010,"Current health expenditure (% of GDP)",6.5,"Since 2016 health expenditure data do not include foreign health insurance provided insurance to the country's residents is missing.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"527",196,"Cyprus",2015,"Current health expenditure (% of GDP)",6.8,"Since 2016 health expenditure data do not include foreign health insurance provided insurance to the country's residents is missing.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"528",196,"Cyprus",2018,"Current health expenditure (% of GDP)",6.8,"Since 2016 health expenditure data do not include foreign health insurance provided insurance to the country's residents is missing.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"529",196,"Cyprus",2019,"Current health expenditure (% of GDP)",6.9,"Since 2016 health expenditure data do not include foreign health insurance provided insurance to the country's residents is missing.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"530",196,"Cyprus",2020,"Current health expenditure (% of GDP)",8.1,"Since 2016 health expenditure data do not include foreign health insurance provided insurance to the country's residents is missing.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"531",196,"Cyprus",2005,"Domestic general government health expenditure (% of total government expenditure)",5.7,"Since 2016 health expenditure data do not include foreign health insurance provided insurance to the country's residents is missing.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"532",196,"Cyprus",2010,"Domestic general government health expenditure (% of total government expenditure)",7.1,"Since 2016 health expenditure data do not include foreign health insurance provided insurance to the country's residents is missing.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"533",196,"Cyprus",2015,"Domestic general government health expenditure (% of total government expenditure)",7.1,"Since 2016 health expenditure data do not include foreign health insurance provided insurance to the country's residents is missing.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"534",196,"Cyprus",2018,"Domestic general government health expenditure (% of total government expenditure)",6.7,"Since 2016 health expenditure data do not include foreign health insurance provided insurance to the country's residents is missing.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"535",196,"Cyprus",2019,"Domestic general government health expenditure (% of total government expenditure)",10,"Since 2016 health expenditure data do not include foreign health insurance provided insurance to the country's residents is missing.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"536",196,"Cyprus",2020,"Domestic general government health expenditure (% of total government expenditure)",14.1,"Since 2016 health expenditure data do not include foreign health insurance provided insurance to the country's residents is missing.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"537",203,"Czechia",2005,"Current health expenditure (% of GDP)",6.3,"Country is still reporting data based on SHA 1.0.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"538",203,"Czechia",2010,"Current health expenditure (% of GDP)",6.9,"Country is still reporting data based on SHA 1.0.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"539",203,"Czechia",2015,"Current health expenditure (% of GDP)",7.2,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"540",203,"Czechia",2018,"Current health expenditure (% of GDP)",7.5,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"541",203,"Czechia",2019,"Current health expenditure (% of GDP)",7.6,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"542",203,"Czechia",2020,"Current health expenditure (% of GDP)",9.2,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"543",203,"Czechia",2005,"Domestic general government health expenditure (% of total government expenditure)",12.8,"Country is still reporting data based on SHA 1.0.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"544",203,"Czechia",2010,"Domestic general government health expenditure (% of total government expenditure)",13.1,"Country is still reporting data based on SHA 1.0.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"545",203,"Czechia",2015,"Domestic general government health expenditure (% of total government expenditure)",14.1,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"546",203,"Czechia",2018,"Domestic general government health expenditure (% of total government expenditure)",15.6,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"547",203,"Czechia",2019,"Domestic general government health expenditure (% of total government expenditure)",15.7,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"548",203,"Czechia",2020,"Domestic general government health expenditure (% of total government expenditure)",17.1,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"549",180,"Dem. Rep. of the Congo",2005,"Current health expenditure (% of GDP)",4.3,"Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"550",180,"Dem. Rep. of the Congo",2010,"Current health expenditure (% of GDP)",3.9,"Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"551",180,"Dem. Rep. of the Congo",2015,"Current health expenditure (% of GDP)",4,"Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"552",180,"Dem. Rep. of the Congo",2018,"Current health expenditure (% of GDP)",3.3,"Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"553",180,"Dem. Rep. of the Congo",2019,"Current health expenditure (% of GDP)",3.5,"Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"554",180,"Dem. Rep. of the Congo",2020,"Current health expenditure (% of GDP)",4.1,"Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"555",180,"Dem. Rep. of the Congo",2005,"Domestic general government health expenditure (% of total government expenditure)",2.5,"Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"556",180,"Dem. Rep. of the Congo",2010,"Domestic general government health expenditure (% of total government expenditure)",2.5,"Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"557",180,"Dem. Rep. of the Congo",2015,"Domestic general government health expenditure (% of total government expenditure)",3.8,"Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"558",180,"Dem. Rep. of the Congo",2018,"Domestic general government health expenditure (% of total government expenditure)",4.5,"Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"559",180,"Dem. Rep. of the Congo",2019,"Domestic general government health expenditure (% of total government expenditure)",4.4,"Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"560",180,"Dem. Rep. of the Congo",2020,"Domestic general government health expenditure (% of total government expenditure)",6.3,"Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"561",208,"Denmark",2005,"Current health expenditure (% of GDP)",9.1,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"562",208,"Denmark",2010,"Current health expenditure (% of GDP)",10.6,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"563",208,"Denmark",2015,"Current health expenditure (% of GDP)",10.3,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"564",208,"Denmark",2018,"Current health expenditure (% of GDP)",10.1,"Break in the time series.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"565",208,"Denmark",2019,"Current health expenditure (% of GDP)",10.1,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"566",208,"Denmark",2020,"Current health expenditure (% of GDP)",10.5,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"567",208,"Denmark",2005,"Domestic general government health expenditure (% of total government expenditure)",14.9,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"568",208,"Denmark",2010,"Domestic general government health expenditure (% of total government expenditure)",15.8,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"569",208,"Denmark",2015,"Domestic general government health expenditure (% of total government expenditure)",16,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"570",208,"Denmark",2018,"Domestic general government health expenditure (% of total government expenditure)",16.7,"Break in the time series.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"571",208,"Denmark",2019,"Domestic general government health expenditure (% of total government expenditure)",17.1,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"572",208,"Denmark",2020,"Domestic general government health expenditure (% of total government expenditure)",16.7,"","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"573",262,"Djibouti",2005,"Current health expenditure (% of GDP)",3.2,"Data revision.;Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"574",262,"Djibouti",2010,"Current health expenditure (% of GDP)",3.1,"Data revision.;Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"575",262,"Djibouti",2015,"Current health expenditure (% of GDP)",3.1,"Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"576",262,"Djibouti",2018,"Current health expenditure (% of GDP)",2.3,"Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"577",262,"Djibouti",2019,"Current health expenditure (% of GDP)",2,"Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"578",262,"Djibouti",2020,"Current health expenditure (% of GDP)",2,"Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"579",262,"Djibouti",2005,"Domestic general government health expenditure (% of total government expenditure)",5.3,"Data revision.;Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"580",262,"Djibouti",2010,"Domestic general government health expenditure (% of total government expenditure)",7,"Data revision.;Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"581",262,"Djibouti",2015,"Domestic general government health expenditure (% of total government expenditure)",4.1,"Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"582",262,"Djibouti",2018,"Domestic general government health expenditure (% of total government expenditure)",4.3,"Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"583",262,"Djibouti",2019,"Domestic general government health expenditure (% of total government expenditure)",4.3,"Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"584",262,"Djibouti",2020,"Domestic general government health expenditure (% of total government expenditure)",4.3,"Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"585",212,"Dominica",2005,"Current health expenditure (% of GDP)",5,"Data revision.;Data refer to fiscal years beginning 1 July.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"586",212,"Dominica",2010,"Current health expenditure (% of GDP)",5.2,"Data revision.;Data refer to fiscal years beginning 1 July.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"587",212,"Dominica",2015,"Current health expenditure (% of GDP)",5.2,"Data revision.;Data refer to fiscal years beginning 1 July.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"588",212,"Dominica",2018,"Current health expenditure (% of GDP)",6.1,"Data revision.;Data refer to fiscal years beginning 1 July.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"589",212,"Dominica",2019,"Current health expenditure (% of GDP)",5.1,"Data revision.;Data refer to fiscal years beginning 1 July.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"590",212,"Dominica",2020,"Current health expenditure (% of GDP)",5.6,"Data revision.;Data refer to fiscal years beginning 1 July.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"591",212,"Dominica",2005,"Domestic general government health expenditure (% of total government expenditure)",8.7,"Data revision.;Data refer to fiscal years beginning 1 July.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"592",212,"Dominica",2010,"Domestic general government health expenditure (% of total government expenditure)",7.4,"Data revision.;Data refer to fiscal years beginning 1 July.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"593",212,"Dominica",2015,"Domestic general government health expenditure (% of total government expenditure)",9.7,"Data revision.;Data refer to fiscal years beginning 1 July.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"594",212,"Dominica",2018,"Domestic general government health expenditure (% of total government expenditure)",6.2,"Data revision.;Data refer to fiscal years beginning 1 July.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"595",212,"Dominica",2019,"Domestic general government health expenditure (% of total government expenditure)",7.6,"Data revision.;Data refer to fiscal years beginning 1 July.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"596",212,"Dominica",2020,"Domestic general government health expenditure (% of total government expenditure)",5.4,"Data revision.;Data refer to fiscal years beginning 1 July.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"597",214,"Dominican Republic",2005,"Current health expenditure (% of GDP)",4.4,"Data revision.;Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"598",214,"Dominican Republic",2010,"Current health expenditure (% of GDP)",4.9,"Data revision.;Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"599",214,"Dominican Republic",2015,"Current health expenditure (% of GDP)",4.7,"Data revision.;Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"600",214,"Dominican Republic",2018,"Current health expenditure (% of GDP)",4.1,"Data revision.;Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"601",214,"Dominican Republic",2019,"Current health expenditure (% of GDP)",4.2,"Data revision.;Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"602",214,"Dominican Republic",2020,"Current health expenditure (% of GDP)",4.9,"Data revision.;Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"603",214,"Dominican Republic",2005,"Domestic general government health expenditure (% of total government expenditure)",9.2,"Data revision.;Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"604",214,"Dominican Republic",2010,"Domestic general government health expenditure (% of total government expenditure)",15.9,"Data revision.;Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"605",214,"Dominican Republic",2015,"Domestic general government health expenditure (% of total government expenditure)",14.2,"Data revision.;Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"606",214,"Dominican Republic",2018,"Domestic general government health expenditure (% of total government expenditure)",15.4,"Data revision.;Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"607",214,"Dominican Republic",2019,"Domestic general government health expenditure (% of total government expenditure)",15.6,"Data revision.;Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"608",214,"Dominican Republic",2020,"Domestic general government health expenditure (% of total government expenditure)",14.7,"Data revision.;Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"609",218,"Ecuador",2005,"Current health expenditure (% of GDP)",5.6,"Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"610",218,"Ecuador",2010,"Current health expenditure (% of GDP)",6.1,"Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"611",218,"Ecuador",2015,"Current health expenditure (% of GDP)",7.5,"Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"612",218,"Ecuador",2018,"Current health expenditure (% of GDP)",7.9,"Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"613",218,"Ecuador",2019,"Current health expenditure (% of GDP)",7.8,"Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"614",218,"Ecuador",2020,"Current health expenditure (% of GDP)",8.5,"Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"615",218,"Ecuador",2005,"Domestic general government health expenditure (% of total government expenditure)",7.9,"Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"616",218,"Ecuador",2010,"Domestic general government health expenditure (% of total government expenditure)",8.2,"Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"617",218,"Ecuador",2015,"Domestic general government health expenditure (% of total government expenditure)",10.9,"Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"618",218,"Ecuador",2018,"Domestic general government health expenditure (% of total government expenditure)",13.1,"Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"619",218,"Ecuador",2019,"Domestic general government health expenditure (% of total government expenditure)",13.3,"Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"620",218,"Ecuador",2020,"Domestic general government health expenditure (% of total government expenditure)",13.9,"Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"621",818,"Egypt",2005,"Current health expenditure (% of GDP)",4.9,"Data refer to fiscal years beginning 1 July.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"622",818,"Egypt",2010,"Current health expenditure (% of GDP)",4.2,"Data refer to fiscal years beginning 1 July.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"623",818,"Egypt",2015,"Current health expenditure (% of GDP)",5.3,"Data refer to fiscal years beginning 1 July.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"624",818,"Egypt",2018,"Current health expenditure (% of GDP)",5,"Data refer to fiscal years beginning 1 July.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"625",818,"Egypt",2019,"Current health expenditure (% of GDP)",4.8,"Data refer to fiscal years beginning 1 July.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"626",818,"Egypt",2020,"Current health expenditure (% of GDP)",4.4,"Data revision.;Break in the time series.;Data refer to fiscal years beginning 1 July.;Data are based on SHA2011.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"627",818,"Egypt",2005,"Domestic general government health expenditure (% of total government expenditure)",5.2,"Data refer to fiscal years beginning 1 July.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"628",818,"Egypt",2010,"Domestic general government health expenditure (% of total government expenditure)",4.4,"Data refer to fiscal years beginning 1 July.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"629",818,"Egypt",2015,"Domestic general government health expenditure (% of total government expenditure)",5.1,"Data refer to fiscal years beginning 1 July.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"630",818,"Egypt",2018,"Domestic general government health expenditure (% of total government expenditure)",4.7,"Data refer to fiscal years beginning 1 July.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"631",818,"Egypt",2019,"Domestic general government health expenditure (% of total government expenditure)",4.8,"Data refer to fiscal years beginning 1 July.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"632",818,"Egypt",2020,"Domestic general government health expenditure (% of total government expenditure)",5.2,"Data revision.;Break in the time series.;Data refer to fiscal years beginning 1 July.;Data are based on SHA2011.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"633",222,"El Salvador",2005,"Current health expenditure (% of GDP)",9.2,"Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"634",222,"El Salvador",2010,"Current health expenditure (% of GDP)",8.9,"Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"635",222,"El Salvador",2015,"Current health expenditure (% of GDP)",8.8,"Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"636",222,"El Salvador",2018,"Current health expenditure (% of GDP)",8.3,"Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.;Last available data reported by the country using Government reports and national accounts data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"637",222,"El Salvador",2019,"Current health expenditure (% of GDP)",8.5,"Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.;Last available data reported by the country using Government reports and national accounts data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"638",222,"El Salvador",2020,"Current health expenditure (% of GDP)",9.9,"Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.;Last available data reported by the country using Government reports and national accounts data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"639",222,"El Salvador",2005,"Domestic general government health expenditure (% of total government expenditure)",18.9,"Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"640",222,"El Salvador",2010,"Domestic general government health expenditure (% of total government expenditure)",17.1,"Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"641",222,"El Salvador",2015,"Domestic general government health expenditure (% of total government expenditure)",17.7,"Data based on calendar year (January 1 to December 31).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"642",222,"El Salvador",2018,"Domestic general government health expenditure (% of total government expenditure)",16.7,"Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.;Last available data reported by the country using Government reports and national accounts data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
"643",222,"El Salvador",2019,"Domestic general government health expenditure (% of total government expenditure)",17.3,"Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.;Last available data reported by the country using Government reports and national accounts data.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
